?     1	(("n'", 'est'), ['ce', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_00908', '2', '3'), ('fr-ud-train_00995', '2', '3'), ('fr-ud-train_01334', '5', '6'), ('fr-ud-train_02558', '2', '3'), ('fr-ud-train_02887', '18', '19'), ('fr-ud-train_03316', '2', '3'), ('fr-ud-train_03548', '26', '27'), ('fr-ud-train_04546', '48', '49'), ('fr-ud-train_04650', '2', '3'), ('fr-ud-train_05611', '31', '32'), ('fr-ud-train_05790', '6', '7'), ('fr-ud-train_06701', '2', '3'), ('fr-ud-train_07709', '23', '24'), ('fr-ud-train_08048', '3', '4'), ('fr-ud-train_09857', '2', '3'), ('fr-ud-train_10945', '2', '3'), ('fr-ud-train_11021', '2', '3'), ('fr-ud-train_11774', '2', '3'), ('fr-ud-train_12360', '2', '3'), ('fr-ud-train_12577', '25', '26'), ('fr-ud-train_12870', '15', '16'), ('fr-ud-train_13067', '3', '4'), ('fr-ud-train_13716', '3', '4')], 'advmod - R': [('fr-ud-train_11770', 3, 4)]}
   466	(('serge', 'journal'), [',', 'drouin', '(', 'de'])	{'NIL': [('fr-ud-train_08316', '10', '28'), ('fr-ud-train_08316', '10', '40')], 'appos - L': [('fr-ud-train_08316', 10, 13)]}
   467	(('eddy', 'journal'), [',', 'labrie', '(', 'de'])	{'NIL': [('fr-ud-train_08316', '25', '40')], 'appos - L': [('fr-ud-train_08316', 25, 28)]}
   468	(('paris', 'reuters'), [0, ',', '(', ')'])	{'NIL': [('fr-ud-train_09757', '1', '6')], 'nmod - L': [('fr-ud-train_10171', 1, 6)]}
   469	(('comté', 'norvège'), ['le', 'de', 'en', '.'])	{'NIL': [('fr-ud-train_03668', '7', '12')], 'nmod - L': [('fr-ud-train_08338', 7, 11)]}
   470	(('complété', 'service'), ['est', 'par', 'un', 'de'])	{'NIL': [('fr-ud-train_08392', '4', '26')], 'obl:agent - L': [('fr-ud-train_08392', 4, 7)]}
   471	(('fonctionne', 'lundi'), ['qui', 'de', 'le', 'à'])	{'NIL': [('fr-ud-train_08392', '11', '35')], 'obl:arg - L': [('fr-ud-train_08392', 11, 14)]}
   472	(('lieu', 'juillet'), ['ont', 'de', 0, 'à'])	{'NIL': [('fr-ud-train_13364', '29', '31')], 'nmod - L': [('fr-ud-train_08426', 3, 5)]}
   473	(('moines', 'chef'), ['des', '(', '«', 'de'])	{'NIL': [('fr-ud-train_08429', '23', '35')], 'appos - L': [('fr-ud-train_08429', 23, 27)]}
   474	(('cours', 'mois'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_05691', '11', '26')], 'nmod - L': [('fr-ud-train_14379', 6, 9)]}
   475	(('conception', 'signe'), ['la', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_08450', '2', '52')], 'nmod - L': [('fr-ud-train_08450', 2, 5)]}
   476	(('ville', 'mans'), ['la', 'de', 'le', 'et'])	{'NIL': [('fr-ud-train_08483', '26', '41')], 'nmod - L': [('fr-ud-train_08483', 26, 29)]}
   477	(('et', 'sarthe'), ['mans', 'de', 'la', 'qui'])	{'NIL': [('fr-ud-train_08483', '30', '45')], 'cc - R': [('fr-ud-train_08483', 42, 45)]}
   478	(('kidnappé', 'mauritanie'), ['a', 'trois', 'en', ','])	{'NIL': [('fr-ud-train_08568', '7', '24')], 'obl:mod - L': [('fr-ud-train_08568', 7, 14)]}
   479	(('otages', 'décembre'), ['deux', 'italiens', 'en', ','])	{'NIL': [('fr-ud-train_08568', '17', '31')], 'orphan - L': [('fr-ud-train_08568', 17, 20)]}
   480	(('france', 'europe'), ['en', 'et', 'en', '.'])	{'NIL': [('fr-ud-train_04563', '16', '42')], 'conj - L': [('fr-ud-train_08573', 19, 22)]}
   481	(('de', 'importants'), ['un', 'les', 'plus', 'de'])	{'NIL': [('fr-ud-train_13126', '5', '13')], 'case - R': [('fr-ud-train_08597', 15, 18)]}
   482	(('un', 'importants'), ["l'", 'de', 'plus', 'de'])	{'NIL': [('fr-ud-train_13126', '4', '13')], 'nmod - L': [('fr-ud-train_08597', 14, 18)]}
   483	(('ou', 'automobile'), [',', 'de', "l'", '.'])	{'NIL': [('fr-ud-train_08644', '36', '44')], 'cc - R': [('fr-ud-train_08644', 41, 44)]}
   484	(('parties', 'système'), ['deux', ':', 'le', 'nerveux'])	{'NIL': [('fr-ud-train_08650', '6', '17')], 'appos - L': [('fr-ud-train_08650', 6, 9)]}
   485	(('moitié', 'palud'), ['pour', 'à', 'la', ','])	{'NIL': [('fr-ud-train_08788', '24', '34')], 'nmod - R': [('fr-ud-train_08788', 30, 34)]}
   486	(('à', 'palud'), ['moitié', 'les', 'la', ','])	{'NIL': [('fr-ud-train_08788', '25', '34')], 'case - R': [('fr-ud-train_08788', 31, 34)]}
   487	(('région', 'studio'), ['sa', '(', 'le', "d'"])	{'NIL': [('fr-ud-train_08868', '15', '31')], 'nmod - L': [('fr-ud-train_08868', 15, 19)]}
   488	(('enlever', 'œufs'), ['ou', 'les', 0, 'et'])	{'NIL': [('fr-ud-train_12629', '32', '34')], 'obj - L': [('fr-ud-train_08885', 32, 34)]}
   489	(('dégrader', 'milieu'), ['ou', 'son', 0, '.'])	{'NIL': [('fr-ud-train_12629', '45', '47')], 'obj - L': [('fr-ud-train_08885', 45, 47)]}
   490	(('tout', 'début'), ['le', 0, 0, 'de'])	{'amod - R': [('fr-ud-train_12926', 3, 4)], 'advmod - R': [('fr-ud-train_08917', 3, 4)]}
   491	(('professionnels', 'cap'), ['les', 'de', 'le', "d'"])	{'NIL': [('fr-ud-train_08990', '5', '41')], 'nmod - L': [('fr-ud-train_08990', 5, 12)]}
   492	(('km', 'à'), ['2', 0, 0, 'le'])	{'NIL': [('fr-ud-train_09690', '34', '35')], 'advmod - L': [('fr-ud-train_09034', 40, 41)]}
   493	(('il', 'était'), [0, 0, 0, 'à'])	{'NIL': [('fr-ud-train_13515', '1', '2')], 'nsubj - R': [('fr-ud-train_09043', 1, 2)]}
   494	(('il', 'était'), ["qu'", 0, 0, '.'])	{'NIL': [('fr-ud-train_13773', '8', '9')], 'nsubj - R': [('fr-ud-train_12839', 6, 7)]}
   495	(('plantes', 'famille'), ['de', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_00509', '7', '15'), ('fr-ud-train_00932', '7', '15'), ('fr-ud-train_10706', '7', '15')], 'nmod - L': [('fr-ud-train_09046', 6, 9)]}
   496	(('passe', 'titre'), ['il', 'à', 'le', 'de'])	{'NIL': [('fr-ud-train_09265', '2', '24')], 'obl:arg - L': [('fr-ud-train_09265', 2, 5)]}
   497	(('accordé', 'fraise'), ['a', "l'", 'la', 'de'])	{'NIL': [('fr-ud-train_09329', '5', '22')], 'obl:arg - L': [('fr-ud-train_09329', 5, 10)]}
   498	(('béranger', 'cardinal-prêtre'), ['à', 'frédol', ',', 'de'])	{'NIL': [('fr-ud-train_09491', '12', '24')], 'appos - L': [('fr-ud-train_09491', 12, 15)]}
   499	(('course', 'place'), ['la', 'à', 'deuxième', ','])	{'NIL': [('fr-ud-train_09610', '21', '57')], 'nmod - L': [('fr-ud-train_09610', 21, 25)]}
   500	(('printemps', 'été'), ['le', 'et', 'en', '.'])	{'NIL': [('fr-ud-train_02921', '24', '39')], 'conj - L': [('fr-ud-train_09627', 8, 11)]}
   501	(('gestion', 'risques'), ['meilleure', 'de', 'les', ','])	{'NIL': [('fr-ud-train_09722', '5', '19')], 'nmod - L': [('fr-ud-train_09722', 5, 8)]}
   502	(('différences', 'vvd'), ['grandes', 'idéologiques', 'le', 'et'])	{'NIL': [('fr-ud-train_09853', '18', '39')], 'nmod - L': [('fr-ud-train_09853', 18, 22)]}
   503	(('ville', 'province'), ['une', 'et', 'la', 'de'])	{'NIL': [('fr-ud-train_07528', '6', '23')], 'nmod - L': [('fr-ud-train_09959', 4, 10)]}
   504	(('vision', 'histoire'), ['la', 'globale', 'une', 'de'])	{'conj - L': [('fr-ud-train_09983', 3, 17)], 'nmod - L': [('fr-ud-train_09983', 3, 7)]}
   505	(('agissait', 'histoire'), ["s'", 'pas', 'petite', 'de'])	{'NIL': [('fr-ud-train_09983', '51', '66')], 'obl:arg - L': [('fr-ud-train_09983', 51, 56)]}
   506	(('autres', 'encore'), ["d'", 0, 0, '.'])	{'NIL': [('fr-ud-train_11899', '18', '19')], 'advmod - L': [('fr-ud-train_09984', 45, 46)]}
   507	(('dirigeait', 'château'), ['se', 'vers', 'le', 'de'])	{'NIL': [('fr-ud-train_09987', '16', '28')], 'obl:mod - L': [('fr-ud-train_09987', 16, 19)]}
   508	(('de', 'à'), ['dégrada', 'le', 'tout', 'le'])	{'NIL': [('fr-ud-train_10071', '5', '11')], 'fixed - L': [('fr-ud-train_10071', 5, 8)]}
   509	(('politique', 'côte'), ['la', 'de', 'en', "d'"])	{'NIL': [('fr-ud-train_10949', '2', '8')], 'nmod - L': [('fr-ud-train_10217', 2, 7)]}
   510	(('région', 'tchéquie'), ['la', 'de', 'en', '.'])	{'NIL': [('fr-ud-train_04280', '14', '18'), ('fr-ud-train_11284', '12', '17')], 'nmod - L': [('fr-ud-train_10325', 14, 19)]}
   511	(("c'", 'équipe'), [0, 'est', "l'", 'de'])	{'NIL': [('fr-ud-train_12643', '1', '16')], 'expl:subj - R': [('fr-ud-train_10423', 1, 4)]}
   512	(('mentir', 'cessé'), ['de', ',', 'jamais', 'de'])	{'NIL': [('fr-ud-train_10463', '20', '36')], 'xcomp:obj - R': [('fr-ud-train_10463', 24, 36)]}
   513	(('date', '17'), ['la', 'de', 'le', 'mai'])	{'NIL': [('fr-ud-train_10508', '2', '14')], 'nmod - L': [('fr-ud-train_10508', 2, 5)]}
   514	(('versions', 'classe'), ['les', 'première', 'seconde', '('])	{'NIL': [('fr-ud-train_10537', '2', '31')], 'appos - L': [('fr-ud-train_10537', 2, 6)]}
   515	(('chansons', 'sont'), ['les', 0, 0, 'de'])	{'NIL': [('fr-ud-train_06552', '3', '4'), ('fr-ud-train_11240', '3', '4')], 'nsubj - R': [('fr-ud-train_10610', 3, 4)]}
   516	(('directeur', 'unité'), ['le', 'de', "l'", "d'"])	{'NIL': [('fr-ud-train_10657', '6', '43')], 'nmod - L': [('fr-ud-train_10657', 6, 9)]}
   517	(('équipe', 'hockey'), ["l'", "d'", 'de', 'sur'])	{'NIL': [('fr-ud-train_10710', '2', '22')], 'nmod - L': [('fr-ud-train_10710', 2, 6)]}
   518	(('produite', 'bobinages'), ['électricité', 'par', 'les', 'de'])	{'NIL': [('fr-ud-train_10711', '15', '38')], 'obl:agent - L': [('fr-ud-train_10711', 15, 18)]}
   519	(('microscope', 'incident'), ['le', 'électronique', 'est', 'sur'])	{'NIL': [('fr-ud-train_10735', '11', '21')], 'obl:mod - R': [('fr-ud-train_10735', 3, 21)]}
   520	(('est', 'intégré'), ['il', 0, 0, 'à'])	{'aux:tense - R': [('fr-ud-train_13346', 2, 3)], 'aux:pass - R': [('fr-ud-train_10740', 12, 13)]}
   521	(("l'", 'escalade'), ['de', 0, 0, 'et'])	{'NIL': [('fr-ud-train_06893', '27', '28')], 'det - R': [('fr-ud-train_10762', 29, 30)]}
   522	(('soit', 'îles'), [',', 'sur', 'des', '.'])	{'NIL': [('fr-ud-train_10885', '4', '27')], 'cc - R': [('fr-ud-train_10885', 24, 27)]}
   523	(('in', '1961'), [',', 'person', '(', ')'])	{'NIL': [('fr-ud-train_10889', '33', '56')], 'nmod - L': [('fr-ud-train_10889', 33, 45)]}
   524	(('four', '1964'), ['"', '"', '(', ')'])	{'NIL': [('fr-ud-train_10889', '68', '80'), ('fr-ud-train_10889', '68', '87')], 'nmod - L': [('fr-ud-train_10889', 68, 73)]}
   525	(('à', 'travée'), ["jusqu'", 'la', 'première', 'de'])	{'NIL': [('fr-ud-train_10916', '10', '21')], 'case - R': [('fr-ud-train_10916', 18, 21)]}
   526	(('bosc', 'balue'), ['le', 'et', 'la', ','])	{'NIL': [('fr-ud-train_10925', '35', '55')], 'conj - L': [('fr-ud-train_10925', 35, 41)]}
   527	(('les', 'arbre'), ['ni', 'premiers', 'double', 'à'])	{'NIL': [('fr-ud-train_10961', '5', '18')], 'det - R': [('fr-ud-train_10961', 14, 18)]}
   528	(('premiers', 'arbre'), ['les', '«', 'double', 'à'])	{'NIL': [('fr-ud-train_10961', '6', '18')], 'amod - R': [('fr-ud-train_10961', 15, 18)]}
   529	(('desservie', 'chemin'), ['est', 'par', 'le', 'de'])	{'NIL': [('fr-ud-train_06353', '3', '19')], 'obl:agent - L': [('fr-ud-train_10992', 3, 6)]}
   530	(('brune', 'tchan'), ['(', 'de', 'le', ')'])	{'NIL': [('fr-ud-train_11023', '28', '41')], 'nmod - L': [('fr-ud-train_11023', 28, 31)]}
   531	(('termes', 'politique'), ['les', 'de', '«', 'de'])	{'NIL': [('fr-ud-train_11107', '5', '15')], 'nmod - L': [('fr-ud-train_11107', 5, 8)]}
   532	(('lutte', 'canada'), ['ou', 'professionnelle', 'le', ')'])	{'NIL': [('fr-ud-train_11211', '6', '20')], 'nmod - L': [('fr-ud-train_11211', 6, 10)]}
   533	(('syndicat', 'désirait'), ['le', 'de', ',', 'mettre'])	{'NIL': [('fr-ud-train_11213', '17', '27')], 'nsubj - R': [('fr-ud-train_11213', 5, 27)]}
   534	(('révélé', 'making'), ['groupe', 'par', '"', 'the'])	{'NIL': [('fr-ud-train_11253', '17', '41')], 'obl:agent - L': [('fr-ud-train_11253', 17, 20)]}
   535	(('district', 'tchéquie'), ['le', 'de', 'en', '.'])	{'NIL': [('fr-ud-train_06415', '7', '14')], 'nmod - L': [('fr-ud-train_11284', 7, 17)]}
   536	(('nord', 'département'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_11339', '6', '25')], 'nmod - L': [('fr-ud-train_11339', 6, 9)]}
   537	(('usage', 'langue'), ["l'", 'de', 'la', 'française'])	{'NIL': [('fr-ud-train_11368', '17', '61')], 'nmod - L': [('fr-ud-train_11368', 17, 20)]}
   538	(('opérette', 'aventures'), ["l'", "d'", 'les', 'de'])	{'NIL': [('fr-ud-train_11399', '9', '34')], 'appos - L': [('fr-ud-train_11399', 9, 15)]}
   539	(('taille', 'ordre'), ['de', 'minimale', "l'", 'de'])	{'NIL': [('fr-ud-train_11401', '14', '37')], 'nmod - L': [('fr-ud-train_11401', 14, 18)]}
   540	(('bande', 'moitié'), ['une', 'blanche', 'la', 'de'])	{'NIL': [('fr-ud-train_11417', '17', '50')], 'nmod - L': [('fr-ud-train_11417', 17, 21)]}
   541	(('moitié', 'bord'), ['la', 'de', 'le', 'costal'])	{'NIL': [('fr-ud-train_11417', '21', '45')], 'nmod - L': [('fr-ud-train_11417', 21, 24)]}
   542	(('occupée', 'esprit'), ['place', 'de', "l'", 'de'])	{'NIL': [('fr-ud-train_11423', '9', '38')], 'obl:mod - L': [('fr-ud-train_11423', 9, 15)]}
   543	(('succède', 'école'), ['girard', ',', "l'", 'de'])	{'NIL': [('fr-ud-train_11463', '10', '33')], 'obl:mod - L': [('fr-ud-train_11463', 10, 26)]}
   544	(('relevaient', 'secteur'), ['%', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_11475', '18', '38'), ('fr-ud-train_11475', '18', '47'), ('fr-ud-train_11475', '18', '68')], 'obl:arg - L': [('fr-ud-train_11475', 18, 21)]}
   545	(('%', 'secteur'), ['7', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_11475', '35', '47')], 'orphan - L': [('fr-ud-train_11475', 35, 38), ('fr-ud-train_11475', 65, 68)]}
   546	(('%', 'secteur'), ['27', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_11475', '44', '68')], 'orphan - L': [('fr-ud-train_11475', 44, 47)]}
   547	(('implantée', 'axe'), ['est', 'dans', "l'", 'de'])	{'NIL': [('fr-ud-train_11483', '20', '37')], 'obl:mod - L': [('fr-ud-train_11483', 20, 23)]}
   548	(('axe', 'voie'), ["l'", 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_11483', '23', '44'), ('fr-ud-train_11483', '37', '44')], 'nmod - L': [('fr-ud-train_11483', 23, 26)]}
   549	(("c'", 'monde'), [0, 'est', 'le', 'à'])	{'NIL': [('fr-ud-train_04327', '1', '10')], 'nsubj - R': [('fr-ud-train_11487', 1, 4)]}
   550	(("n'", 'cher'), ['rien', 'est', 'trop', '»'])	{'NIL': [('fr-ud-train_11528', '3', '12')], 'advmod - R': [('fr-ud-train_11528', 9, 12)]}
   551	(('population', 'recensement'), ['sa', 'était', 'le', 'de'])	{'NIL': [('fr-ud-train_02988', '2', '10')], 'nsubj - R': [('fr-ud-train_11592', 2, 8)]}
   552	(('était', 'recensement'), ['population', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_02988', '3', '10')], 'cop - R': [('fr-ud-train_11592', 3, 8)]}
   553	(('fusion', 'inspection'), ['la', 'de', "l'", 'générale'])	{'NIL': [('fr-ud-train_11615', '6', '20')], 'nmod - L': [('fr-ud-train_11615', 6, 9)]}
   554	(('inspection', 'police'), ["l'", 'générale', 'la', 'nationale'])	{'NIL': [('fr-ud-train_12194', '19', '23')], 'nmod - L': [('fr-ud-train_11615', 9, 13)]}
   555	(('ceux', 'reste'), ['à', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_11630', '29', '58')], 'nmod - L': [('fr-ud-train_11630', 29, 32)]}
   556	(('saint-nicolas', 'diocèse'), [',', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_11732', '45', '62')], 'nmod - L': [('fr-ud-train_11732', 45, 50)]}
   557	(('et', 'g'), ['plus', 'de', '400', 'à'])	{'NIL': [('fr-ud-train_11823', '25', '52')], 'cc - R': [('fr-ud-train_11823', 49, 52)]}
   558	(('organisé', 'arrondissement'), ['est', 'autour', "l'", 'de'])	{'NIL': [('fr-ud-train_13284', '4', '18')], 'obl:mod - L': [('fr-ud-train_12081', 4, 10), ('fr-ud-train_12305', 4, 10)]}
   559	(('ne', 'sont'), ['ils', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_08493', '42', '43')], 'advmod - R': [('fr-ud-train_12084', 14, 15)]}
   560	(('à', 'dilemme'), ['face', 'un', 0, ':'])	{'NIL': [('fr-ud-train_13706', '22', '24')], 'case - R': [('fr-ud-train_12088', 9, 11)]}
   561	(('organisations', 'secteur'), ['les', 'syndicales', 'le', 'de'])	{'NIL': [('fr-ud-train_12105', '6', '34')], 'nmod - L': [('fr-ud-train_12105', 6, 10)]}
   562	(('championnats', 'jeux'), ['les', 'de', 'les', 'olympiques'])	{'NIL': [('fr-ud-train_02606', '26', '44')], 'conj - L': [('fr-ud-train_12109', 9, 24)]}
   563	(('totalité', 'comté'), ['la', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_12163', '20', '32')], 'nmod - L': [('fr-ud-train_12163', 20, 23)]}
   564	(('générale', 'police'), ['inspection', 'de', 'la', 'nationale'])	{'NIL': [('fr-ud-train_11615', '10', '13')], 'obl:mod - L': [('fr-ud-train_12194', 20, 23)]}
   565	(('sécurité', 'nations'), ['de', 'de', 'les', 'unies'])	{'NIL': [('fr-ud-train_02867', '22', '25'), ('fr-ud-train_10352', '22', '25')], 'nmod - L': [('fr-ud-train_12374', 54, 57)]}
   566	(('fédération', 'rugby'), ['la', 'française', 'de', 'à'])	{'NIL': [('fr-ud-train_12395', '8', '20')], 'nmod - L': [('fr-ud-train_12395', 8, 11)]}
   567	(('aveugles', 'handicaps'), ['enfants', 'ou', 'sans', 'associés'])	{'NIL': [('fr-ud-train_12411', '9', '60')], 'obl:mod - L': [('fr-ud-train_12411', 9, 17)]}
   568	(('nom', 'transféré'), ['le', 'de', 'est', 'à'])	{'NIL': [('fr-ud-train_12441', '2', '39')], 'nsubj:pass - R': [('fr-ud-train_12441', 35, 39)]}
   569	(('aile', 'parti'), ["l'", 'québécoise', 'le', 'libéral'])	{'NIL': [('fr-ud-train_12473', '11', '58')], 'nmod - L': [('fr-ud-train_12473', 11, 15)]}
   570	(('centre', 'nations'), ['ou', "d'", 'les', 'unies'])	{'NIL': [('fr-ud-train_12514', '10', '27'), ('fr-ud-train_12514', '10', '39'), ('fr-ud-train_12514', '10', '61')], 'nmod - L': [('fr-ud-train_12514', 10, 16)]}
   571	(('organe', 'nations'), ['un', 'de', 'les', 'unies'])	{'NIL': [('fr-ud-train_12514', '24', '39'), ('fr-ud-train_12514', '24', '61')], 'nmod - L': [('fr-ud-train_12514', 24, 27)]}
   572	(('message', 'nations'), ['le', 'de', 'les', 'unies'])	{'NIL': [('fr-ud-train_12514', '36', '61'), ('fr-ud-train_13549', '2', '20')], 'nmod - L': [('fr-ud-train_12514', 36, 39)]}
   573	(('a', 'validé'), ["n'", 'pas', 'été', 'par'])	{'NIL': [('fr-ud-train_12547', '9', '21')], 'aux:tense - R': [('fr-ud-train_12547', 18, 21)]}
   574	(('équipements', 'véhicules'), ['des', 'spécifiques', 'pour', 'de'])	{'NIL': [('fr-ud-train_12548', '7', '17')], 'nmod - L': [('fr-ud-train_12548', 7, 10)]}
   575	(('ouvert', 'équipes'), ['conséquent', 'à', 'les', 'continentales'])	{'NIL': [('fr-ud-train_12578', '5', '15')], 'obl:arg - L': [('fr-ud-train_12578', 5, 8)]}
   576	(('distance', 'correspondances'), ['la', 'avec', 'plusieurs', 'possibles'])	{'NIL': [('fr-ud-train_12242', '12', '17')], 'nmod - L': [('fr-ud-train_12609', 12, 17)]}
   577	(('détruire', 'œufs'), ['de', 'ou', 'les', 'et'])	{'NIL': [('fr-ud-train_08885', '30', '34')], 'obj - L': [('fr-ud-train_12629', 30, 34)]}
   578	(('détruire', 'milieu'), ['de', 'ou', 'son', '.'])	{'NIL': [('fr-ud-train_08885', '30', '47')], 'obj - L': [('fr-ud-train_12629', 30, 47)]}
   579	(('monopole', 'paris'), ['le', 'de', 'les', 'sportifs'])	{'NIL': [('fr-ud-train_12633', '17', '40')], 'nmod - L': [('fr-ud-train_12633', 17, 20)]}
   580	(('près', 'capacité'), [',', 'de', 'une', 'de'])	{'NIL': [('fr-ud-train_12684', '17', '40')], 'conj - L': [('fr-ud-train_12684', 17, 24)]}
   581	(('catégorie', 'règles'), ['la', 'de', 'les', 'de'])	{'NIL': [('fr-ud-train_12708', '32', '43')], 'nmod - L': [('fr-ud-train_12708', 32, 35)]}
   582	(('catégorie', 'celle'), ['la', 'de', 'à', 'de'])	{'NIL': [('fr-ud-train_02545', '19', '47'), ('fr-ud-train_02545', '41', '47')], 'conj - L': [('fr-ud-train_12708', 32, 40)]}
   583	(('prétendant', 'comte'), ['le', 'légitimiste', 'le', 'de'])	{'NIL': [('fr-ud-train_12760', '2', '27')], 'appos - L': [('fr-ud-train_12760', 2, 9)]}
   584	(('secrétaire', 'ministère'), ['nommé', "d'", 'le', 'fédéral'])	{'NIL': [('fr-ud-train_12810', '2', '44')], 'nmod - L': [('fr-ud-train_12810', 2, 7)]}
   585	(('contamination', 'chant'), ['une', 'entre', 'le', 'vieux-romain'])	{'NIL': [('fr-ud-train_12862', '22', '44')], 'nmod - L': [('fr-ud-train_12862', 22, 25)]}
   586	(('débit', 'élevait'), ['le', 'mensuel', "s'", 'à'])	{'NIL': [('fr-ud-train_12869', '11', '30')], 'nsubj - R': [('fr-ud-train_12869', 26, 30)]}
   587	(('bordé', 'pančevački'), ['est', 'par', 'le', 'put'])	{'NIL': [('fr-ud-train_04608', '7', '33')], 'obl:agent - L': [('fr-ud-train_12955', 3, 6)]}
   588	(('olympique', 'lyonnais'), ["l'", 0, 0, ','])	{'amod - L': [('fr-ud-train_14127', 4, 5)], 'flat:name - L': [('fr-ud-train_12961', 8, 9)]}
   589	(('mettant', 'histoire'), ['film', 'en', "l'", "d'"])	{'NIL': [('fr-ud-train_12965', '12', '32')], 'obj - L': [('fr-ud-train_12965', 12, 19)]}
   590	(('classement', 'basé'), ['le', 'est', 0, 'sur'])	{'nsubj - R': [('fr-ud-train_13791', 2, 4)], 'nsubj:pass - R': [('fr-ud-train_13011', 2, 4)]}
   591	(('sud', 'voie'), ['(', 'de', 'la', ')'])	{'NIL': [('fr-ud-train_13033', '33', '50')], 'nmod - L': [('fr-ud-train_13033', 33, 36)]}
   592	(('succédé', 'zénith'), ['sont', ',', 'le', 'de'])	{'NIL': [('fr-ud-train_13046', '8', '18')], 'parataxis - L': [('fr-ud-train_13046', 8, 11)]}
   593	(('parti', 'gare'), [0, 'le', 'la', 'de'])	{'NIL': [('fr-ud-train_13060', '1', '30')], 'obl:arg - L': [('fr-ud-train_13060', 1, 7)]}
   594	(('correspondait', 'question'), ['territoires', 'à', 'une', 'de'])	{'NIL': [('fr-ud-train_13154', '15', '28')], 'obl:arg - L': [('fr-ud-train_13154', 15, 18)]}
   595	(('arrondissement', 'région'), ["l'", 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_04932', '19', '32')], 'conj - L': [('fr-ud-train_13174', 8, 13)]}
   596	(('propriétaires', 'groupe'), ['les', 'de', 'le', 'seb'])	{'NIL': [('fr-ud-train_13263', '11', '26')], 'nmod - L': [('fr-ud-train_13263', 11, 14)]}
   597	(('programme', 'jeux'), ['le', 'de', 'les', 'olympiques'])	{'NIL': [('fr-ud-train_13264', '6', '19')], 'nmod - L': [('fr-ud-train_13264', 6, 9)]}
   598	(('identification', 'temple'), ["l'", 'avec', 'le', 'de'])	{'NIL': [('fr-ud-train_13268', '2', '23')], 'nmod - L': [('fr-ud-train_13268', 2, 5)]}
   599	(('temple', 'trouvait'), ['le', 'de', 'se', 'près'])	{'NIL': [('fr-ud-train_13268', '5', '27')], 'nsubj:pass - R': [('fr-ud-train_13268', 23, 27)]}
   600	(('nom', 'great'), ['le', 'de', '«', 'habbo'])	{'NIL': [('fr-ud-train_13286', '9', '30')], 'nmod - L': [('fr-ud-train_13286', 9, 12)]}
   601	(('panne', 'appel'), ['seconde', 'deux', ',', 'à'])	{'NIL': [('fr-ud-train_13288', '2', '22')], 'parataxis - L': [('fr-ud-train_13288', 2, 17)]}
   602	(('pas', 'statut'), [0, 'de', 0, 'de'])	{'dep:comp - L': [('fr-ud-train_13359', 1, 3)], 'advmod - R': [('fr-ud-train_13289', 1, 3)]}
   603	(('émise', 'péché'), ['avait', 'sur', 'le', 'originel'])	{'NIL': [('fr-ud-train_13342', '15', '32')], 'obl:mod - L': [('fr-ud-train_13342', 15, 18)]}
   604	(('juillet', 'septembre'), ['de', 'à', 0, 'inclus'])	{'NIL': [('fr-ud-train_08426', '5', '7')], 'nmod - L': [('fr-ud-train_13364', 31, 33)]}
   605	(('baisse', 'mois'), ['une', 'de', 'le', "d'"])	{'NIL': [('fr-ud-train_08426', '12', '25')], 'nmod - L': [('fr-ud-train_13364', 38, 50)]}
   606	(('banque', 'caraïbe'), ['la', 'centrale', 'la', 'orientale'])	{'NIL': [('fr-ud-train_13437', '2', '29')], 'nmod - L': [('fr-ud-train_13437', 2, 6)]}
   607	(('répartie', 'centrales'), ['étant', 'entre', 'les', 'à'])	{'NIL': [('fr-ud-train_13466', '4', '19')], 'obl:mod - L': [('fr-ud-train_13466', 4, 7)]}
   608	(('bien', 'étant'), [',', 'que', "n'", 'pas'])	{'NIL': [('fr-ud-train_01802', '5', '43')], 'mark - R': [('fr-ud-train_13508', 10, 13)]}
   609	(('sud-ouest', 'département'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_03849', '15', '20'), ('fr-ud-train_11611', '15', '20')], 'nmod - L': [('fr-ud-train_13517', 12, 15)]}
   610	(('voïvodie', 'powiat'), ['la', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_14397', '8', '14')], 'conj - L': [('fr-ud-train_13581', 11, 17)]}
